Avg.Area Income,House Age,Number of Rooms,Number of Bedrooms,Population,Price
79545,6,7,4,23087,1059034
79249,6,7,3,40173,1505891
61287,6,9,5,36882,1058988
63345,7,6,3,34310,1260617
59982,5,8,4,26354,630943
80176,5,6,4,26748,1068138
64698,6,8,3,60828,1502056
78394,7,7,2,36516,1573937
59928,5,6,2,29387,798870
81886,4,8,6,40150,1545155
80527,8,5,4,47224,1707046
50594,4,7,4,34344,663732
39034,8,7,3,39220,1042814
73164,7,6,2,32326,1291332
69391,5,8,4,35521,1402818
73092,5,9,4,23930,1306675
79707,5,8,3,39718,1556787
61929,5,5,4,24596,528485
63508,6,7,5,35720,1019426
62085,6,7,5,44922,1030591
86295,7,8,4,47561,2146925
60835,6,7,2,45575,929248
64491,4,5,4,40359,718887
60697,6,7,6,28141,744000
59749,5,8,4,27810,895737
56974,8,7,4,40695,1453975
82174,4,7,2,38854,1125693
64627,5,7,4,27785,975429
90499,6,4,3,33970,1240764
59324,7,8,4,37521,1577018
77812,5,7,3,33755,1246830
68653,6,6,4,39356,1170721
55041,7,9,5,30122,1071279
50219,6,7,6,16811,534305
55909,5,9,6,22355,936369
74373,6,7,2,39395,1199194
78668,5,8,4,27638,1233220
78700,6,7,3,22837,1081150
53128,5,5,2,32948,524713
17797,5,7,2,47162,302356
58567,7,5,2,39705,1026817
75538,8,8,6,32778,1762215
46147,7,8,4,27161,882057
70421,7,8,4,43184,1744932
62614,5,7,6,26889,1153871
66395,7,7,3,39741,1499989
73947,5,8,6,35261,1109588
69145,7,6,3,19031,980177
77279,6,7,2,21726,1323952
86754,7,6,4,43017,1662495
74400,6,7,6,41085,1417820
49408,6,6,3,26881,549976
62280,6,6,4,35264,1054771
73078,6,6,3,54916,1415648
72943,5,7,6,24378,948788
63820,6,8,4,27826,1159597
73265,8,7,3,21031,1547133
68488,6,7,5,18268,1186689
55194,7,5,4,32538,772112
77435,6,5,3,36252,1172730
66159,4,7,2,37099,1111085
60503,8,6,4,33580,1022781
60911,6,7,4,43348,1274475
73932,6,5,4,36543,1213531
59540,6,7,5,58601,1411730
56548,5,7,3,37585,858686
65950,5,7,3,40111,1200962
74533,7,6,4,49482,1520234
66423,7,7,6,31019,1360908
74334,5,6,4,41640,1360921
63538,5,7,3,43282,1146532
83953,7,7,3,37283,1789099
